mach_bin,ideal_total_to_static_temperature_ratio,ideal_total_temperature_low_K,ideal_total_temperature_high_K
0.85,1.1444999999999999,247.95592499999998,286.52557499999995
1.0,1.2,259.98,300.41999999999996
1.5,1.45,314.1425,363.0075
2.0,1.7999999999999998,389.96999999999997,450.62999999999994
3.0,2.8,606.62,700.9799999999999
5.0,5.999999999999999,1299.8999999999999,1502.0999999999997
