speed_bin,mach,acceleration_fraction_g,derived_speed_low_kmh,derived_speed_high_kmh,nominal_speed_kmh,nominal_within_derived_interval,accel_decel_distance_fraction_low,accel_decel_distance_fraction_high
subsonic_reference,0.85,0.05,870.0640508434423,970.5949286268707,900.0,True,0.012549360274847342,0.015616912363902242
subsonic_reference,0.85,0.1,870.0640508434423,970.5949286268707,900.0,True,0.006274680137423671,0.007808456181951121
subsonic_reference,0.85,0.2,870.0640508434423,970.5949286268707,900.0,True,0.0031373400687118354,0.0039042280909755605
Concorde_historical,2.0,0.05,2047.2095313963348,2283.7527732396957,2160.0,True,0.06947742712718254,0.08646041447143107
Concorde_historical,2.0,0.1,2047.2095313963348,2283.7527732396957,2160.0,True,0.03473871356359127,0.04323020723571554
Concorde_historical,2.0,0.2,2047.2095313963348,2283.7527732396957,2160.0,True,0.017369356781795634,0.02161510361785777
Mach_3_conceptual_bin,3.0,0.05,3070.8142970945023,3425.6291598595435,3240.0,True,0.1563242110361607,0.1945359325607199
Mach_3_conceptual_bin,3.0,0.1,3070.8142970945023,3425.6291598595435,3240.0,True,0.07816210551808035,0.09726796628035995
Mach_3_conceptual_bin,3.0,0.2,3070.8142970945023,3425.6291598595435,3240.0,True,0.039081052759040176,0.04863398314017998
Mach_5_conceptual_bin,5.0,0.05,5118.023828490837,5709.381933099239,5400.0,True,0.43423391954489093,0.5403775904464442
Mach_5_conceptual_bin,5.0,0.1,5118.023828490837,5709.381933099239,5400.0,True,0.21711695977244547,0.2701887952232221
Mach_5_conceptual_bin,5.0,0.2,5118.023828490837,5709.381933099239,5400.0,True,0.10855847988622273,0.13509439761161104
