metric,value
current_programme_close_read_rows,4
research_demonstrator_rows,1
experimental_test_authorization_rows,1
company_reported_future_airliner_rows,1
proposed_regulatory_path_rows,1
current_passenger_service_rows,0
passenger_certification_evidence_rows,0
high_speed_practical_pass_rows,0
