metric,independent_value,reference_value,pass
current_programme_close_read_rows,4,4,True
research_demonstrator_rows,1,1,True
experimental_test_authorization_rows,1,1,True
company_reported_future_airliner_rows,1,1,True
proposed_regulatory_path_rows,1,1,True
current_passenger_service_rows,0,0,True
passenger_certification_evidence_rows,0,0,True
high_speed_practical_pass_rows,0,0,True
