metric,value
current_speed_evidence_basis_rows,4
rows_with_top_or_max_speed,3
rows_with_explicit_high_speed_cruise,1
rows_with_explicit_long_range_or_typical_cruise,3
rows_with_top_and_high_speed_cruise,1
highest_top_or_max_mach,0.95
highest_explicit_cruise_mach,0.9
largest_top_minus_high_speed_cruise_gap,0.03500000000000003
