metric,independent_value,reference_value,absolute_delta,pass
current_speed_basis_time_context_rows,7,7,0,True
top_or_max_basis_rows,3,3,0,True
explicit_cruise_basis_rows,4,4,0,True
highest_top_or_max_mach,0.95,0.95,0.0,True
highest_explicit_cruise_mach,0.9,0.9,0.0,True
highest_explicit_cruise_saving_percent,5.555555555555558,5.555555555555558,0.0,True
g700_top_or_max_saving_percent,9.090909090909093,9.090909090909093,0.0,True
g700_high_speed_cruise_saving_percent,5.555555555555558,5.555555555555558,0.0,True
