mach_bin,ideal_total_to_static_temperature_ratio,kinetic_energy_per_mass_vs_mach_0_85
0.85,1.1444999999999999,1.0
1.0,1.2,1.384083044982699
1.5,1.45,3.1141868512110724
2.0,1.7999999999999998,5.536332179930796
3.0,2.8,12.45674740484429
5.0,5.999999999999999,34.60207612456748
