load_factor,occupied_passengers,concorde_proxy_btu_per_passenger_mile,concorde_proxy_kg_co2_per_passenger_mile,concorde_proxy_kg_co2_per_passenger_km,derived_modern_long_haul_btu_per_passenger_mile,modern_long_haul_kg_co2_per_passenger_mile,energy_ratio_vs_modern_long_haul,co2_ratio_vs_modern_long_haul
1.0,100.0,6810.004659994738,0.49183366988850885,0.30561127384108605,2256.9230769230767,0.163,3.017384477843613,3.0173844778436125
0.8,80.0,8512.505824993423,0.6147920873606361,0.3820140923013576,2256.9230769230767,0.163,3.7717305973045163,3.7717305973045154
0.6,60.0,11350.007766657898,0.8197227831475148,0.5093521230684768,2256.9230769230767,0.163,5.028974129739356,5.028974129739354
