mach_bin,max_absolute_delta,pass
0.85,2.220446049250313e-16,True
1.0,1.0658141036401503e-14,True
1.5,0.0,True
2.0,2.7755575615628914e-16,True
3.0,2.7755575615628914e-17,True
5.0,8.881784197001252e-16,True
