metric,independent_value,reference_value,absolute_delta,pass
current_speed_time_context_rows,5,5,0,True
current_reference_rows,4,4,0,True
mach2_comparison_rows,1,1,0,True
airline_reference_saving_percent,0.0,0.0,0.0,True
global7500_reference_saving_percent,8.108108108108114,8.108108108108114,0.0,True
g700_reference_saving_percent,9.090909090909093,9.090909090909093,0.0,True
g8000_reference_saving_percent,10.526315789473683,10.526315789473683,0.0,True
mach2_speed_only_saving_percent,57.49999999999999,57.49999999999999,0.0,True
