metric,value
noise_rows,7
current_binding_rows,1
prospective_or_development_rows,3
research_in_progress_rows,1
unresolved_rows,1
certified_subsonic_aircraft_record_rows,1
final_high_speed_pass_rows,0
semantic_error_count,0
