required_mean_speed_kmh,proxy_energy_MJ_per_passenger,non_airborne_minutes,airborne_minutes,routing_margin,L_over_D_screen,allocated_mass_kg
169747.1783725346,5030.766838241165,56.20230127466999,3.797698725330008,0.13184282948650333,4.57564601273745,135.61254052890376
107767.2338341836,2984.0752241467017,54.688164564814905,5.311835435185095,0.005065575907065162,11.93662374227571,136.0471932753039
123336.8699193258,4463.091436662981,55.34872209237116,4.651277907628838,0.00722909512355871,5.096479852764908,136.40512487279213
,3632.7450800735282,64.06819462282957,-4.068194622829566,0.013108088496050385,8.038629005095444,164.33958494498125
,4700.339825704892,65.10242353138756,-5.102423531387558,0.16315372166139064,6.2754825704745025,178.77629648774922
,2884.7486115902293,66.47239916624676,-6.47239916624676,0.15763936198457082,9.716220065801451,125.58929102782807
,2352.4155144904385,64.6660202697125,-4.666020269712504,0.00852818479473505,10.407569606811734,136.78919554938352
8168912.867410733,4459.5383378988545,59.918551452090405,0.08144854790959499,0.16818240531053258,6.211626142326142,164.7515950422788
,2325.6099106288566,60.11220356660035,-0.1122035666003498,0.1800264864757515,9.631858773656608,148.4770766096191
,2453.843618153357,67.48082682540158,-7.480826825401579,0.15178145800579515,7.972293921587359,132.05730382547188
247277.69482053135,6284.421388880894,57.40925044639049,2.5907495536095126,0.12479512798641937,4.281008015763977,155.33441252644
77230.79560428113,2361.403365981257,52.42563043976897,7.574369560231028,0.027070016151137855,10.587452677045771,93.89709975914819
79163.56007011891,4807.468585007436,51.95717839940233,8.04282160059767,0.1178841624794946,5.796731639046379,134.70545464180174
45714.71847723068,1560.468881980526,47.477799409240966,12.522200590759034,0.005077977288576119,11.921761386184112,135.72930404705204
858954.92243375,3664.4883194907175,59.24331993576203,0.756680064237969,0.14115783385399477,6.028118759826554,135.96593093237124
,3119.3665538000514,63.098340029492334,-3.0983400294923342,0.20405689118681214,9.657493753869613,173.03596084979995
109069.34166913477,2649.9615319887507,54.45930649707675,5.540693502923247,0.061035389810039115,8.543016847818361,164.9207281241159
138601.28104751138,2488.5533376707976,55.30347321170222,4.696526788297781,0.14289701712430716,8.604945949636132,136.74066696096193
81022.7732384844,5463.710600875225,52.84800057747203,7.151999422527972,0.01741380434897702,6.464575022215502,166.99387265655275
1816230.2721368724,2190.3025788646455,59.62514047125197,0.37485952874803274,0.19537045074265036,10.57753395352764,149.35430682194806
,4160.354146186994,71.00313679088592,-11.003136790885918,0.011359885345187892,6.63169898133252,118.08649089971657
,3105.819677100349,60.296594252223095,-0.29659425222309466,0.007997410112693726,6.360171696297791,135.23852549802567
69445.10629993983,2525.9249258163077,51.72083499609583,8.279165003904168,0.009464931461398401,10.85648791220031,169.78394616779556
344648.55197849043,2628.5345533182217,57.963203546614075,2.036796453385925,0.23250059987237762,10.457475457836013,173.51665965586972
,6135.290930532546,67.74751939353776,-7.747519393537757,0.24785893816188562,6.811511435335434,171.39652246758664
50019.291886163905,3101.5051437826432,48.605633947534756,11.394366052465244,0.0006697184107968546,5.373824653295701,120.30693066497682
369174.5484216264,3500.7126744564775,58.118006838459046,1.8819931615409544,0.21986801551828214,7.348792899853757,133.1757737928591
371742.0772999861,4791.2198597087745,58.08549610811435,1.9145038918856514,0.24957125463822083,8.68997642442687,151.37008564579642
,5775.4503988460065,64.39999057262058,-4.399990572620581,0.02589305069025452,4.253542345528498,148.23980795072936
128665.81342497707,2734.903325696635,55.299862866994175,4.700137133005825,0.0617854023877365,9.011759735913543,139.65377195347264
,2146.8067808875367,61.23291873515266,-1.2329187351526585,0.16084705903537377,11.41893623424189,137.90047111015707
,4962.305092605381,62.79649582402267,-2.7964958240226707,0.11993779006083982,7.115974592770682,157.437103187077
,2991.3045252913325,67.5187283851542,-7.518728385154205,0.10514560784243548,9.010309060846605,158.90317408632714
,2997.3464912264253,72.36107190207,-12.361071902069995,0.06575705441660595,11.343299801929373,177.6808740808533
229059.90543429376,2848.206057003711,57.124356925174304,2.875643074825696,0.15650391831293406,9.84218827668682,168.72883158544676
,2674.262484682763,62.67744267598785,-2.677442675987848,0.1224846631069374,9.613391657513514,139.16988072521457
,1952.0856891562541,64.66799080973313,-4.667990809733126,0.02522578720417018,9.470765845634912,91.72860388122025
207476.850786245,1969.1913239989117,56.98736808683294,3.0126319131670627,0.0974349088357723,9.566577428837176,131.6422842219748
,2805.7787381968,73.22092101792352,-13.220921017923516,0.08093279069494938,9.115255283194493,167.29647640351905
244458.67775989827,2998.4265355706752,57.17616579872522,2.823834201274778,0.21201418699896274,11.110443312425403,106.25212071675902
,1892.5792573874276,60.436953669316665,-0.4369536693166651,0.04820120633568653,7.652369502170918,99.77334014341298
1072626.4525678237,4211.761044437689,59.34374341628768,0.6562565837123202,0.23590539363440152,5.436402343145983,91.27945579121113
208196.48230842792,3858.219753341237,56.94936086382907,3.050639136170929,0.11513456085575777,5.594851098707853,130.18921411718716
136471.83620004644,5703.347401706544,55.41693898869615,4.5830610113038475,0.0981501488155114,4.700057235935882,125.61101032943967
73547.38422901252,1860.8479413569623,51.66374581802449,8.336254181975512,0.07646826405188292,9.061369067964298,93.57174130576277
116608.86222704756,6155.77610107112,54.44100511428638,5.5589948857136235,0.13812741177351606,4.59948942068361,103.3855371556253
,7531.522619589189,64.2343340148339,-4.234334014833905,0.14150316415081376,4.037794675457697,145.5125026862467
,5805.965681949407,65.1374941934767,-5.137494193476698,0.21339439963532783,8.953582376261084,178.47148784047272
,3110.498442953232,64.66430973935643,-4.664309739356426,0.01868976589087415,7.282271136036678,152.0645954740413
64706.14319868601,3836.0455660996895,50.65241607299529,9.347583927004713,0.061959461825631695,6.422187574028756,133.12376474950355
,3087.9097121237414,64.35551069718412,-4.3555106971841155,0.030634910389349068,8.497699508923706,121.02334508688017
209477.69126691448,4132.346331228215,56.79248368517131,3.2075163148286876,0.17969490533773524,10.087162169487279,138.37616985575497
65789.71759567587,3581.2404178845377,49.52913921765149,10.47086078234851,0.2094932768669224,7.872770534497524,173.23400154262015
83801.58615932427,6434.010300481759,52.79746389698609,7.202536103013912,0.05974343243465982,5.179455457677598,179.20413925165366
188848.36799231422,4763.530258224848,56.66294197468475,3.337058025315251,0.10647102454748525,7.232695772231026,176.17091776540508
413303.9050445067,4013.2673711116067,58.3759455693065,1.6240544306934979,0.17850964292945062,5.5909801220626845,147.7931129112136
385826.4190619269,1777.2262060716237,58.35476879225722,1.645231207742782,0.11450482277312976,11.000554720135037,110.11252014296923
96047.23529061208,2347.6734767553603,53.20901680738064,6.790983192619358,0.145197984302395,11.309731138731156,173.05936773188162
81892.76543208325,2989.4444099836533,51.86099162335205,8.13900837664795,0.17025386339681006,9.441040067842913,148.9659662638054
198707.4852318653,1753.711071204809,56.82501818806151,3.174981811938487,0.10769072674144434,7.994807508854726,91.66529243399462
326194.6044668851,4625.100259160013,58.0571827294028,1.942817270597203,0.11268383758066916,6.518122988734462,105.9083866486654
,4829.0249628105075,72.9128033123801,-12.912803312380106,0.0286709869747398,4.6316642597063815,145.68225541592304
,2560.2244006517335,68.98331240195645,-8.983312401956454,0.04881689219900201,10.514542066762608,167.22792690672094
,2971.2863284309296,68.3507082650958,-8.350708265095804,0.15137624093049531,11.676841560796902,145.499317252528
82715.80176354977,2505.08429840076,52.3580546483947,7.641945351605301,0.1098274504939086,5.704197964575705,94.39754695223715
133459.5112001919,3353.7481697845265,54.97566802166959,5.024331978330409,0.1773102043127794,7.794293811115816,135.176841325556
,2871.803852985063,63.83765194236264,-3.8376519423626405,0.13638854374107665,7.241673146716101,132.41943397326438
,2581.8817111093476,60.49213118806895,-0.4921311880689529,0.16634561394065203,9.167174678516442,133.83634193414855
,1756.5945205984863,60.16747959279404,-0.167479592794038,0.07132197715605859,11.692260540565982,112.67844523512848
172265.23580241497,4468.842857680398,56.06773692550783,3.9322630744921696,0.18933242454724697,5.450480481748388,139.37324122151495
,6712.456698818452,60.706450307554164,-0.7064503075541637,0.09176195306081047,4.303146058876289,106.68077196593461
151704.49549895053,3719.627439808089,56.06562432670923,3.9343756732907735,0.047942195732271736,6.826383983431835,126.65192162022284
79442.10257384153,3143.582100138033,52.45519767392578,7.544802326074219,0.05235349273002246,9.865563247965646,171.91725310930775
,2583.8468227580124,62.0784170291273,-2.0784170291273014,0.01741317418021554,9.192149288592663,130.11633177091093
,1421.7540377323412,67.35287585782031,-7.352875857820308,0.05313069315282773,10.128156272733847,104.1795486190578
309198.21105531824,7861.936985755991,57.841801830041064,2.1581981699589363,0.17163232044022383,5.0224070948857165,151.20646237364804
556649.4553752192,5090.078724509,58.83023068115607,1.169769318843933,0.14326015028518985,7.151636736312128,154.19210564040068
