scenario,load_factor,independent_ratio,independent_reduction_percent,reference_ratio,reference_reduction_percent,max_absolute_delta,pass
baseline,1.0,3.0173844778436125,66.85871464697615,3.017384477843612,66.85871464697615,4.440892098500626e-16,True
baseline,0.8,3.7717305973045154,73.48697171758093,3.7717305973045154,73.48697171758093,0.0,True
baseline,0.6,5.028974129739354,80.1152287881857,5.028974129739354,80.1152287881857,0.0,True
fuel_minus_10pct,1.0,2.7156460300592515,63.17634960775129,2.7156460300592515,63.17634960775129,0.0,True
fuel_minus_10pct,0.8,3.3945575375740646,70.54107968620103,3.394557537574064,70.54107968620103,4.440892098500626e-16,True
fuel_minus_10pct,0.6,4.52607671676542,77.90580976465078,4.526076716765418,77.90580976465077,1.4210854715202004e-14,True
fuel_plus_10pct,1.0,3.319122925627974,69.87155876997832,3.3191229256279735,69.87155876997832,4.440892098500626e-16,True
fuel_plus_10pct,0.8,4.1489036570349676,75.89724701598266,4.148903657034967,75.89724701598266,8.881784197001252e-16,True
fuel_plus_10pct,0.6,5.53187154271329,81.92293526198699,5.531871542713289,81.92293526198699,8.881784197001252e-16,True
speed_minus_10pct,1.0,3.352649419826236,70.17284318227854,3.352649419826237,70.17284318227854,8.881784197001252e-16,True
speed_minus_10pct,0.8,4.190811774782795,76.13827454582284,4.190811774782796,76.13827454582285,1.4210854715202004e-14,True
speed_minus_10pct,0.6,5.5877490330437265,82.10370590936714,5.587749033043727,82.10370590936714,8.881784197001252e-16,True
speed_plus_10pct,1.0,2.743076798039648,63.54458611167377,2.743076798039648,63.54458611167377,0.0,True
speed_plus_10pct,0.8,3.4288459975495593,70.83566888933902,3.4288459975495598,70.83566888933902,4.440892098500626e-16,True
speed_plus_10pct,0.6,4.571794663399412,78.12675166700427,4.571794663399413,78.12675166700427,8.881784197001252e-16,True
seats_minus_10pct,1.0,3.352649419826236,70.17284318227854,3.352649419826237,70.17284318227854,8.881784197001252e-16,True
seats_minus_10pct,0.8,4.190811774782795,76.13827454582284,4.190811774782794,76.13827454582282,1.4210854715202004e-14,True
seats_minus_10pct,0.6,5.5877490330437265,82.10370590936714,5.5877490330437265,82.10370590936714,0.0,True
seats_plus_10pct,1.0,2.743076798039647,63.54458611167377,2.7430767980396475,63.54458611167377,4.440892098500626e-16,True
seats_plus_10pct,0.8,3.4288459975495593,70.83566888933902,3.4288459975495593,70.83566888933902,0.0,True
seats_plus_10pct,0.6,4.571794663399412,78.12675166700427,4.571794663399413,78.12675166700427,8.881784197001252e-16,True
benchmark_minus_10pct,1.0,3.3526494198262364,70.17284318227854,3.352649419826236,70.17284318227854,4.440892098500626e-16,True
benchmark_minus_10pct,0.8,4.190811774782795,76.13827454582284,4.190811774782795,76.13827454582284,0.0,True
benchmark_minus_10pct,0.6,5.587749033043727,82.10370590936714,5.587749033043727,82.10370590936714,0.0,True
benchmark_plus_10pct,1.0,2.7430767980396475,63.54458611167377,2.743076798039647,63.54458611167377,4.440892098500626e-16,True
benchmark_plus_10pct,0.8,3.4288459975495593,70.83566888933902,3.4288459975495593,70.83566888933902,0.0,True
benchmark_plus_10pct,0.6,4.571794663399412,78.12675166700427,4.571794663399412,78.12675166700427,0.0,True
all_favorable_10pct,1.0,2.0403050563931266,50.98772132791698,2.040305056393126,50.98772132791696,2.1316282072803006e-14,True
all_favorable_10pct,0.8,2.550381320491408,60.79017706233357,2.5503813204914074,60.79017706233356,7.105427357601002e-15,True
all_favorable_10pct,0.6,3.4005084273218777,70.5926327967502,3.4005084273218773,70.5926327967502,4.440892098500626e-16,True
all_adverse_10pct,1.0,4.552980693591186,78.03636634331421,4.552980693591184,78.0363663433142,1.4210854715202004e-14,True
all_adverse_10pct,0.8,5.691225866988982,82.42909307465136,5.691225866988981,82.42909307465136,8.881784197001252e-16,True
all_adverse_10pct,0.6,7.588301155985309,86.82181980598853,7.588301155985309,86.82181980598853,0.0,True
