mach_bin,airborne_time_vs_mach_0_85,airborne_time_saved_fraction,kinetic_energy_per_mass_vs_mach_0_85,ideal_total_to_static_temperature_ratio,marginal_time_saved_per_incremental_ke_proxy,marginal_time_saved_per_incremental_temperature_ratio
0.85,1.0,0.0,1.0,1.1444999999999999,,
1.0,0.85,0.15000000000000002,1.384083044982699,1.2,0.3905405405405405,2.702702702702698
1.5,0.5666666666666667,0.43333333333333335,3.1141868512110724,1.45,0.1637666666666667,1.1333333333333333
2.0,0.425,0.575,5.536332179930796,1.7999999999999998,0.0584880952380952,0.40476190476190477
3.0,0.2833333333333333,0.7166666666666667,12.45674740484429,2.8,0.020470833333333344,0.14166666666666672
5.0,0.16999999999999998,0.8300000000000001,34.60207612456748,5.999999999999999,0.005117708333333334,0.035416666666666693
